date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:04:15	0/-1	---M--	302	error ('')			https://theme330-drugs.myshopify.com/account/addresses	C:/Users/Sakofred/Desktop/Pharmaso/theme330-drugs.myshopify.com/account/addresses.1a1.delayed	(from https://theme330-drugs.myshopify.com/products/nature-made-vitamin-d3-2000-iu-value)
18:04:16	2971/2971	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:b7260efd4ddb5f7781359c4f7e833738	https://theme330-drugs.myshopify.com/products/nature-made-vitamin-d3-2000-iu-value.oembed	C:/Users/Sakofred/Desktop/Pharmaso/theme330-drugs.myshopify.com/products/nature-made-vitamin-d3-2000-iu-value.oembed	(from https://theme330-drugs.myshopify.com/collections/new-products/products/nature-made-vitamin-d3-2000-iu-value)
18:04:51	361561/361561	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Dec%202017%2015:04:20%20GMT	http://cdn.shopify.com/s/files/1/1987/4325/products/nature_s_way_umcka_coldcare_children_s_cherry_syrup_1_570x570_crop_top.png?v=1494316431	C:/Users/Sakofred/Desktop/Pharmaso/cdn.shopify.com/s/files/1/1987/4325/products/nature_s_way_umcka_coldcare_children_s_cherry_syrup_1_570x570_crop_top14e9.png	(from https://theme330-drugs.myshopify.com/collections/new-products/products/natures-way-umcka-coldcare-childrens-cherry-syrup)
18:05:02	229437/229437	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Dec%202017%2015:04:30%20GMT	http://cdn.shopify.com/s/files/1/1987/4325/products/nature_s_way_umcka_coldcare_children_s_cherry_syrup_3_570x570_crop_top.png?v=1494316431	C:/Users/Sakofred/Desktop/Pharmaso/cdn.shopify.com/s/files/1/1987/4325/products/nature_s_way_umcka_coldcare_children_s_cherry_syrup_3_570x570_crop_top14e9.png	(from https://theme330-drugs.myshopify.com/collections/new-products/products/natures-way-umcka-coldcare-childrens-cherry-syrup)
18:05:05	284805/284805	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Dec%202017%2015:04:26%20GMT	http://cdn.shopify.com/s/files/1/1987/4325/products/nature_s_way_umcka_coldcare_children_s_cherry_syrup_2_570x570_crop_top.png?v=1494316431	C:/Users/Sakofred/Desktop/Pharmaso/cdn.shopify.com/s/files/1/1987/4325/products/nature_s_way_umcka_coldcare_children_s_cherry_syrup_2_570x570_crop_top14e9.png	(from https://theme330-drugs.myshopify.com/collections/new-products/products/natures-way-umcka-coldcare-childrens-cherry-syrup)
18:05:06	13615/13615	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Dec%202017%2015:05:08%20GMT	http://cdn.shopify.com/s/files/1/1987/4325/products/nature_s_way_umcka_coldcare_children_s_cherry_syrup_1_98x98_crop_top.png?v=1494316431	C:/Users/Sakofred/Desktop/Pharmaso/cdn.shopify.com/s/files/1/1987/4325/products/nature_s_way_umcka_coldcare_children_s_cherry_syrup_1_98x98_crop_top14e9.png	(from https://theme330-drugs.myshopify.com/collections/new-products/products/natures-way-umcka-coldcare-childrens-cherry-syrup)
18:05:10	288502/288502	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Dec%202017%2015:04:32%20GMT	http://cdn.shopify.com/s/files/1/1987/4325/products/nature_s_way_umcka_coldcare_children_s_cherry_syrup_4_570x570_crop_top.png?v=1494316431	C:/Users/Sakofred/Desktop/Pharmaso/cdn.shopify.com/s/files/1/1987/4325/products/nature_s_way_umcka_coldcare_children_s_cherry_syrup_4_570x570_crop_top14e9.png	(from https://theme330-drugs.myshopify.com/collections/new-products/products/natures-way-umcka-coldcare-childrens-cherry-syrup)
18:05:10	10675/10675	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Dec%202017%2015:05:12%20GMT	http://cdn.shopify.com/s/files/1/1987/4325/products/nature_s_way_umcka_coldcare_children_s_cherry_syrup_2_98x98_crop_top.png?v=1494316431	C:/Users/Sakofred/Desktop/Pharmaso/cdn.shopify.com/s/files/1/1987/4325/products/nature_s_way_umcka_coldcare_children_s_cherry_syrup_2_98x98_crop_top14e9.png	(from https://theme330-drugs.myshopify.com/collections/new-products/products/natures-way-umcka-coldcare-childrens-cherry-syrup)
18:05:12	9451/9451	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Dec%202017%2015:05:14%20GMT	http://cdn.shopify.com/s/files/1/1987/4325/products/nature_s_way_umcka_coldcare_children_s_cherry_syrup_3_98x98_crop_top.png?v=1494316431	C:/Users/Sakofred/Desktop/Pharmaso/cdn.shopify.com/s/files/1/1987/4325/products/nature_s_way_umcka_coldcare_children_s_cherry_syrup_3_98x98_crop_top14e9.png	(from https://theme330-drugs.myshopify.com/collections/new-products/products/natures-way-umcka-coldcare-childrens-cherry-syrup)
18:05:14	11101/11101	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Dec%202017%2015:05:16%20GMT	http://cdn.shopify.com/s/files/1/1987/4325/products/nature_s_way_umcka_coldcare_children_s_cherry_syrup_4_98x98_crop_top.png?v=1494316431	C:/Users/Sakofred/Desktop/Pharmaso/cdn.shopify.com/s/files/1/1987/4325/products/nature_s_way_umcka_coldcare_children_s_cherry_syrup_4_98x98_crop_top14e9.png	(from https://theme330-drugs.myshopify.com/collections/new-products/products/natures-way-umcka-coldcare-childrens-cherry-syrup)
18:05:16	0/-1	---M--	302	error ('')			https://theme330-drugs.myshopify.com/account/addresses	C:/Users/Sakofred/Desktop/Pharmaso/theme330-drugs.myshopify.com/account/addresses.1ac.delayed	(from https://theme330-drugs.myshopify.com/collections/new-products/products/natures-way-umcka-coldcare-childrens-cherry-syrup)
18:05:18	22233/22233	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Dec%202017%2015:05:19%20GMT	http://cdn.shopify.com/s/files/1/1987/4325/products/nature_s_way_umcka_coldcare_children_s_cherry_syrup_5_98x98_crop_top.png?v=1494316431	C:/Users/Sakofred/Desktop/Pharmaso/cdn.shopify.com/s/files/1/1987/4325/products/nature_s_way_umcka_coldcare_children_s_cherry_syrup_5_98x98_crop_top14e9.png	(from https://theme330-drugs.myshopify.com/collections/new-products/products/natures-way-umcka-coldcare-childrens-cherry-syrup)
18:05:31	595942/595942	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Dec%202017%2015:04:58%20GMT	http://cdn.shopify.com/s/files/1/1987/4325/products/nature_s_way_umcka_coldcare_children_s_cherry_syrup_5_570x570_crop_top.png?v=1494316431	C:/Users/Sakofred/Desktop/Pharmaso/cdn.shopify.com/s/files/1/1987/4325/products/nature_s_way_umcka_coldcare_children_s_cherry_syrup_5_570x570_crop_top14e9.png	(from https://theme330-drugs.myshopify.com/collections/new-products/products/natures-way-umcka-coldcare-childrens-cherry-syrup)
18:05:32	0/-1	---M--	302	error ('')			https://theme330-drugs.myshopify.com/account/addresses	C:/Users/Sakofred/Desktop/Pharmaso/theme330-drugs.myshopify.com/account/addresses.1ae.delayed	(from https://theme330-drugs.myshopify.com/products/natures-way-umcka-coldcare-childrens-cherry-syrup)
18:05:32	0/-1	---M--	302	error ('')			https://theme330-drugs.myshopify.com/account/addresses	C:/Users/Sakofred/Desktop/Pharmaso/theme330-drugs.myshopify.com/account/addresses.1af.delayed	(from https://theme330-drugs.myshopify.com/collections/tablets/products/alka-seltzer-original-effervescent-tablets)
